age,female,foreign.born,LTHS,high.school,some.college,college,advanced.degree,ln.real.wage
64,1,1,0,1,0,0,0,2.564949274
35,1,1,0,0,1,0,0,2.140066147
31,1,0,0,0,0,0,1,3.113515377
50,0,1,0,0,1,0,0,2.708050251
57,1,0,0,1,0,0,0,2.740839958
39,0,0,0,0,1,0,0,2.11021328
37,0,0,1,0,0,0,0,2.526658535
58,1,1,1,0,0,0,0,2.079441547
55,1,1,1,0,0,0,0,NA
39,1,1,0,1,0,0,0,2.11021328
39,0,1,0,1,0,0,0,2.302585125
32,0,1,0,1,0,0,0,2.995732307
25,1,0,0,0,0,1,0,2.585430384
25,1,0,0,0,1,0,0,2.197224617
36,0,1,0,0,0,1,0,3.534142971
21,0,1,0,0,0,1,0,2.956509352
24,1,0,0,0,0,1,0,2.887515783
60,0,1,1,0,0,0,0,2.484906673
26,0,1,0,0,0,1,0,2.169053793
27,1,1,0,1,0,0,0,2.014903069
49,1,1,0,0,0,0,1,NA
17,1,0,1,0,0,0,0,2.708050251
54,0,1,1,0,0,0,0,2.197224617
56,1,1,1,0,0,0,0,2.222513199
28,1,1,0,0,1,0,0,1.578978658
57,0,1,1,0,0,0,0,2.11021328
26,0,0,1,0,0,0,0,2.708050251
45,1,1,0,0,1,0,0,2.484906673
45,0,1,1,0,0,0,0,NA
37,0,0,0,0,0,1,0,3.361971378
28,0,0,0,0,1,0,0,2.732742786
39,0,1,0,0,1,0,0,3.218875885
42,1,1,0,0,1,0,0,2.291090727
26,0,1,1,0,0,0,0,2.564949274
54,0,1,1,0,0,0,0,2.197224617
43,0,0,0,1,0,0,0,3.624341011
18,0,0,0,1,0,0,0,2.140066147
22,0,0,1,0,0,0,0,1.945910096
46,0,0,0,0,1,0,0,2.890371799
71,1,0,0,0,0,1,0,2.890371799
50,0,0,0,1,0,0,0,3.074289322
42,1,1,0,1,0,0,0,2.484906673
22,1,0,0,0,1,0,0,2.551032305
20,0,0,0,0,1,0,0,2.197224617
33,0,0,0,1,0,0,0,3.726175308
40,0,1,1,0,0,0,0,3.135494232
32,1,0,0,1,0,0,0,2.014903069
30,0,0,0,0,1,0,0,3.912023067
35,0,1,1,0,0,0,0,2.833213329
71,1,0,0,1,0,0,0,2.665490627
29,1,1,0,0,1,0,0,2.484906673
24,0,1,0,1,0,0,0,2.120263577
29,0,0,0,0,1,0,0,3.260401487
26,1,1,1,0,0,0,0,2.11021328
33,0,1,1,0,0,0,0,2.238046646
34,0,1,1,0,0,0,0,2.163322926
67,0,1,1,0,0,0,0,2.486488819
22,0,0,0,1,0,0,0,2.525728703
40,0,0,0,0,1,0,0,2.851139784
26,1,0,0,0,0,1,0,3.649358749
36,1,1,0,0,0,1,0,NA
47,0,1,0,1,0,0,0,NA
69,1,1,0,0,1,0,0,2.525728703
37,0,1,1,0,0,0,0,2.302585125
26,1,0,0,0,1,0,0,2.839078426
26,0,0,0,0,1,0,0,3.08876729
32,1,0,0,0,0,0,1,2.222524166
45,0,1,0,1,0,0,0,2.708050251
45,0,1,1,0,0,0,0,3.333988667
22,0,0,0,1,0,0,0,2.564949274
26,1,0,0,0,0,1,0,2.484906673
55,0,1,0,0,1,0,0,2.822969913
51,1,1,0,0,1,0,0,2.862200975
31,0,0,0,0,0,0,1,2.802355528
33,0,0,0,0,1,0,0,3.218875885
41,0,1,0,1,0,0,0,2.944438934
37,1,1,0,1,0,0,0,2.484906673
44,0,1,0,1,0,0,0,2.525728703
34,0,0,0,1,0,0,0,2.939162016
34,1,0,0,1,0,0,0,2.302585125
31,0,1,0,1,0,0,0,2.708050251
22,0,1,0,1,0,0,0,2.708050251
50,1,0,1,0,0,0,0,1.994700313
60,0,1,0,1,0,0,0,2.302585125
21,1,1,0,0,1,0,0,2.564949274
38,0,1,0,1,0,0,0,2.11021328
43,0,1,0,0,1,0,0,3.68887949
33,0,0,0,1,0,0,0,3.074289322
21,0,0,0,1,0,0,0,2.140066147
18,1,0,1,0,0,0,0,2.014903069
45,0,0,0,0,0,1,0,NA
30,0,1,1,0,0,0,0,3.159444094
21,1,0,0,0,1,0,0,2.397895336
51,0,1,1,0,0,0,0,2.302585125
22,0,1,1,0,0,0,0,2.261763096
48,0,1,1,0,0,0,0,2.251291752
19,0,1,1,0,0,0,0,1.981001496
41,0,1,1,0,0,0,0,2.484906673
40,1,1,1,0,0,0,0,2.079441547
26,0,1,0,0,0,0,1,2.302585125
23,1,1,0,1,0,0,0,2.77258873
27,1,1,0,0,0,0,1,3.299902678
29,0,0,0,1,0,0,0,2.251291752
34,0,1,0,1,0,0,0,2.251291752
61,0,1,1,0,0,0,0,2.197224617
27,0,1,0,0,1,0,0,2.708050251
21,0,1,1,0,0,0,0,2.639057398
33,0,0,0,0,1,0,0,2.708050251
39,0,1,1,0,0,0,0,2.639057398
41,1,0,1,0,0,0,0,2.397895336
85,0,1,1,0,0,0,0,2.140066147
18,0,1,1,0,0,0,0,2.11021328
22,1,1,0,1,0,0,0,2.11021328
40,1,1,0,1,0,0,0,2.251291752
50,0,1,0,1,0,0,0,2.564949274
35,1,0,0,0,0,1,0,3.401197433
52,1,1,0,0,0,0,1,NA
35,0,1,0,1,0,0,0,3.091042519
22,1,1,0,1,0,0,0,2.708050251
39,0,1,1,0,0,0,0,3.192531824
29,0,1,0,1,0,0,0,2.197224617
21,1,1,0,0,1,0,0,2.302585125
54,0,1,0,1,0,0,0,2.564949274
27,1,1,0,1,0,0,0,2.302585125
23,0,1,0,1,0,0,0,2.302585125
30,1,1,0,0,1,0,0,3.784189701
31,0,1,0,1,0,0,0,NA
20,0,1,1,0,0,0,0,2.014903069
52,1,1,0,1,0,0,0,2.397895336
33,0,0,0,0,1,0,0,3.465735912
29,0,0,0,1,0,0,0,2.639057398
40,1,1,0,1,0,0,0,2.197224617
18,1,1,0,1,0,0,0,1.504077435
55,0,1,0,1,0,0,0,2.302585125
45,0,1,0,1,0,0,0,2.197224617
27,1,1,0,1,0,0,0,2.11021328
27,0,1,0,1,0,0,0,2.11021328
21,1,1,0,1,0,0,0,2.11021328
57,0,1,0,0,1,0,0,3.306153774
48,1,1,0,0,0,1,0,2.634923935
45,0,1,0,0,1,0,0,2.358658075
43,0,1,0,0,0,1,0,3.744966745
35,1,0,0,0,1,0,0,3.766997337
32,0,0,0,1,0,0,0,3.044522524
40,0,0,0,0,1,0,0,4.205687046
28,1,0,0,0,0,1,0,1.981001496
40,1,1,0,0,0,0,1,3.959860325
40,1,1,0,1,0,0,0,2.484906673
26,0,0,0,0,1,0,0,2.564949274
26,0,1,0,0,0,1,0,2.197224617
45,1,1,0,1,0,0,0,2.484906673
49,0,1,1,0,0,0,0,2.068970203
24,0,0,1,0,0,0,0,2.302585125
23,0,0,0,1,0,0,0,2.169053793
30,0,1,0,1,0,0,0,1.791759491
49,0,1,1,0,0,0,0,2.11021328
20,0,0,0,0,1,0,0,2.11021328
35,0,0,0,0,0,1,0,2.708050251
28,0,1,0,0,1,0,0,2.397895336
39,1,1,0,1,0,0,0,2.140066147
43,0,0,0,0,1,0,0,3.521820784
61,1,1,0,0,1,0,0,2.397895336
27,1,1,0,0,0,1,0,2.995732307
52,1,1,0,0,0,1,0,2.332144022
24,1,1,0,0,1,0,0,2.639057398
34,0,1,0,1,0,0,0,2.11021328
29,1,1,1,0,0,0,0,2.197224617
27,0,1,0,0,0,1,0,2.302585125
34,1,1,0,0,0,1,0,NA
28,0,0,0,1,0,0,0,2.11021328
24,1,0,0,1,0,0,0,0.947789371
40,0,1,1,0,0,0,0,NA
48,0,1,1,0,0,0,0,1.750937462
33,0,1,0,1,0,0,0,2.890371799
42,1,0,0,0,0,1,0,3.218875885
23,0,0,0,0,0,1,0,2.617395878
16,1,0,1,0,0,0,0,2.140066147
47,0,1,0,0,1,0,0,3.073850155
45,1,1,0,1,0,0,0,2.140066147
21,1,0,0,1,0,0,0,2.197224617
32,0,1,0,0,1,0,0,2.397895336
68,0,1,0,1,0,0,0,2.11021328
28,1,1,0,1,0,0,0,2.525728703
40,1,1,0,1,0,0,0,2.708050251
36,1,0,0,0,1,0,0,2.995732307
25,1,0,0,0,1,0,0,2.944438934
41,0,0,0,0,1,0,0,3.471966505
24,1,0,0,0,1,0,0,2.079441547
44,1,1,1,0,0,0,0,2.302585125
59,1,0,0,1,0,0,0,2.11021328
49,1,0,0,0,1,0,0,3.178053856
32,0,1,0,0,1,0,0,2.956510544
32,1,0,0,1,0,0,0,2.302585125
29,1,0,0,1,0,0,0,2.639057398
60,1,1,0,0,1,0,0,2.131796837
25,1,1,0,1,0,0,0,2.169053793
23,0,1,1,0,0,0,0,2.047692776
23,1,1,0,1,0,0,0,2.302585125
31,0,1,1,0,0,0,0,2.302585125
32,1,1,1,0,0,0,0,2.302585125
35,1,1,1,0,0,0,0,2.445685863
43,0,1,1,0,0,0,0,2.302585125
17,0,0,1,0,0,0,0,2.11021328
36,0,1,0,1,0,0,0,2.116255522
56,0,1,1,0,0,0,0,2.77258873
28,0,1,1,0,0,0,0,2.484906673
30,0,1,1,0,0,0,0,2.197224617
33,0,0,0,0,0,0,1,NA
40,1,0,0,0,0,0,1,3.269345284
53,0,1,1,0,0,0,0,2.302585125
44,1,1,1,0,0,0,0,2.197224617
52,1,0,0,0,1,0,0,3.401197433
24,1,0,0,0,1,0,0,2.174751759
22,1,0,0,0,1,0,0,0.810930192
37,0,1,1,0,0,0,0,2.224623442
58,0,0,1,0,0,0,0,2.302585125
46,1,1,0,0,0,1,0,2.602689743
24,1,1,0,0,1,0,0,2.11021328
22,1,1,0,0,1,0,0,2.11021328
48,1,1,0,1,0,0,0,2.140066147
52,0,1,0,1,0,0,0,2.302585125
21,0,0,0,0,1,0,0,2.525728703
20,0,0,0,0,1,0,0,2.302585125
28,0,0,0,1,0,0,0,2.708050251
31,0,1,0,0,0,0,1,3.674349308
29,1,0,0,0,0,0,1,3.179646254
57,1,1,0,0,0,1,0,2.251291752
56,1,0,1,0,0,0,0,2.708050251
34,1,0,1,0,0,0,0,2.525728703
39,1,1,0,0,1,0,0,2.525728703
40,0,1,0,1,0,0,0,NA
42,1,0,0,0,1,0,0,2.850706339
36,0,1,0,1,0,0,0,3.749504089
47,1,1,0,0,1,0,0,NA
37,1,1,0,0,0,1,0,2.668824196
32,0,0,0,0,0,0,1,3.442019463
45,0,1,1,0,0,0,0,3.401197433
18,0,0,1,0,0,0,0,1.981001496
46,0,0,0,0,0,1,0,3.361532211
27,1,0,0,0,0,0,1,2.944438934
32,0,1,1,0,0,0,0,2.564949274
42,0,1,0,0,0,1,0,2.564949274
53,0,1,1,0,0,0,0,2.525728703
47,1,1,0,0,0,1,0,2.77258873
24,1,0,0,0,0,1,0,2.197224617
47,1,1,0,0,0,1,0,2.670694351
19,1,0,1,0,0,0,0,2.140066147
18,0,0,1,0,0,0,0,2.140066147
33,1,1,0,1,0,0,0,2.197224617
38,0,1,0,1,0,0,0,3.054001331
30,1,0,0,1,0,0,0,2.927988768
23,1,0,0,0,1,0,0,2.890371799
28,0,0,0,0,0,1,0,3.36124301
51,1,0,0,0,1,0,0,1.937942028
22,0,0,0,1,0,0,0,2.302585125
31,1,0,0,1,0,0,0,2.275213957
71,0,1,0,0,1,0,0,2.718000412
39,0,1,1,0,0,0,0,2.11021328
24,1,1,1,0,0,0,0,2.169053793
21,1,0,0,0,1,0,0,2.140066147
48,0,1,0,1,0,0,0,2.708050251
41,0,1,0,0,1,0,0,3.457283497
44,0,0,0,1,0,0,0,2.691243172
40,1,0,0,0,1,0,0,2.862200975
54,0,0,0,0,0,1,0,3.915516853
21,0,0,0,1,0,0,0,2.224623442
85,0,0,0,0,1,0,0,2.397895336
25,0,0,0,0,0,1,0,3.091042519
31,1,0,1,0,0,0,0,2.708050251
32,0,0,1,0,0,0,0,1.897119999
29,0,1,0,1,0,0,0,2.833213329
38,0,0,0,0,0,1,0,4.125644207
31,0,0,1,0,0,0,0,NA
31,1,0,1,0,0,0,0,2.11021328
41,0,0,0,1,0,0,0,2.890371799
30,0,1,0,1,0,0,0,3.459466219
34,0,1,0,1,0,0,0,3.459466219
22,0,1,0,1,0,0,0,2.302585125
27,0,0,0,0,1,0,0,2.708050251
31,0,0,0,1,0,0,0,2.988204002
78,1,1,0,0,1,0,0,2.763169527
21,1,0,0,0,1,0,0,2.169053793
41,0,1,0,1,0,0,0,1.945910096
32,0,1,0,1,0,0,0,1.945910096
45,1,1,1,0,0,0,0,2.484906673
25,0,1,0,0,1,0,0,2.079441547
21,1,0,0,0,1,0,0,2.583997488
53,0,1,1,0,0,0,0,1.981001496
44,1,1,1,0,0,0,0,2.140066147
29,1,0,0,1,0,0,0,1.061256528
58,0,1,0,1,0,0,0,3.004444122
64,1,0,0,1,0,0,0,2.624668598
43,1,1,1,0,0,0,0,1.967112422
22,1,1,1,0,0,0,0,2.235376358
27,1,0,0,0,1,0,0,1.749199867
26,0,0,0,0,0,1,0,3.091042519
56,1,0,0,0,1,0,0,2.918851137
30,1,0,0,0,0,0,1,2.525728703
31,0,0,0,0,1,0,0,3.17519784
44,0,1,1,0,0,0,0,2.890371799
44,1,1,1,0,0,0,0,2.207175016
20,1,0,0,1,0,0,0,2.397895336
19,0,0,0,1,0,0,0,2.169053793
50,0,1,1,0,0,0,0,2.697326183
35,0,0,1,0,0,0,0,2.697326183
53,0,0,0,1,0,0,0,NA
26,0,0,0,1,0,0,0,3.442019463
46,1,0,0,1,0,0,0,2.197224617
23,1,0,0,0,1,0,0,2.708050251
44,0,0,0,0,1,0,0,3.544294357
20,0,0,0,0,1,0,0,2.302585125
43,0,1,0,1,0,0,0,2.890371799
24,0,0,0,1,0,0,0,2.302585125
45,1,0,0,0,0,1,0,2.980618715
43,0,0,0,0,0,1,0,4.611152172
33,1,0,0,1,0,0,0,1.749199867
31,0,1,1,0,0,0,0,2.079441547
50,0,0,0,0,0,1,0,3.091042519
39,0,0,0,0,1,0,0,2.631089211
55,1,1,1,0,0,0,0,2.374905825
39,1,1,0,1,0,0,0,2.351375341
32,0,1,1,0,0,0,0,2.302585125
35,0,1,0,0,1,0,0,3.179646254
55,1,1,0,1,0,0,0,2.708050251
44,0,0,0,0,1,0,0,2.790551424
33,1,1,0,1,0,0,0,2.484906673
47,1,0,0,0,1,0,0,3.2441926
22,1,0,0,0,1,0,0,2.079441547
23,1,0,0,0,1,0,0,2.073171854
22,0,0,0,0,1,0,0,2.397895336
29,1,1,0,1,0,0,0,2.639057398
28,0,1,0,1,0,0,0,2.197224617
55,0,0,0,1,0,0,0,3.662278891
32,1,1,1,0,0,0,0,2.11021328
51,1,1,0,0,0,0,1,3.831957102
25,0,0,0,0,1,0,0,2.67414856
42,0,0,1,0,0,0,0,1.942582369
43,1,1,0,1,0,0,0,2.11021328
19,1,0,0,0,1,0,0,2.484906673
42,0,0,0,1,0,0,0,3.091042519
43,0,0,0,1,0,0,0,2.397895336
24,1,0,0,0,1,0,0,2.141242027
44,0,1,0,1,0,0,0,2.484906673
41,1,1,0,0,1,0,0,2.169053793
41,1,1,1,0,0,0,0,2.251291752
57,0,1,1,0,0,0,0,2.44234705
46,0,1,1,0,0,0,0,2.833213329
49,1,1,1,0,0,0,0,2.639057398
19,1,0,0,1,0,0,0,2.11021328
18,0,0,0,1,0,0,0,2.11021328
49,0,1,0,1,0,0,0,3.361971378
27,0,0,0,0,0,0,1,NA
31,1,0,0,1,0,0,0,2.67414856
35,0,0,0,1,0,0,0,2.957510948
34,0,1,1,0,0,0,0,2.302585125
30,0,1,1,0,0,0,0,2.11021328
44,1,0,0,0,1,0,0,2.956510544
25,0,0,0,1,0,0,0,2.668824196
56,1,0,0,1,0,0,0,3.327730179
56,0,0,0,1,0,0,0,2.180417538
22,0,0,0,1,0,0,0,2.140066147
46,0,0,0,0,1,0,0,3.767436504
42,1,0,0,0,1,0,0,3.179646254
27,0,1,0,1,0,0,0,2.803360462
27,0,1,0,1,0,0,0,2.803360462
31,0,0,0,0,1,0,0,2.351375341
47,0,1,0,0,0,1,0,NA
26,0,0,0,1,0,0,0,2.708050251
40,1,0,0,0,1,0,0,2.484906673
50,0,1,0,1,0,0,0,2.521274328
23,1,0,0,0,0,1,0,2.890371799
39,1,0,0,0,1,0,0,2.564949274
43,0,1,0,0,1,0,0,2.890371799
41,1,0,1,0,0,0,0,2.397895336
20,1,0,0,0,1,0,0,2.140066147
30,1,0,0,0,1,0,0,2.668824196
48,0,0,0,0,1,0,0,2.302585125
46,0,0,0,1,0,0,0,2.157559395
49,1,0,0,1,0,0,0,2.197224617
30,0,0,0,1,0,0,0,1.981001496
29,1,0,1,0,0,0,0,2.305580616
57,0,1,1,0,0,0,0,2.014903069
47,1,1,1,0,0,0,0,2.302585125
19,0,0,0,1,0,0,0,2.484906673
29,1,1,1,0,0,0,0,2.360854149
35,0,1,0,1,0,0,0,2.833213329
28,0,0,0,1,0,0,0,2.484906673
49,0,1,1,0,0,0,0,2.11021328
43,0,1,1,0,0,0,0,3.258096457
40,1,1,1,0,0,0,0,2.917770624
19,1,0,1,0,0,0,0,2.079441547
36,0,0,0,0,0,0,1,3.803806543
24,1,0,0,0,1,0,0,2.197224617
28,1,0,0,0,1,0,0,2.724579573
42,0,0,0,0,1,0,0,3.073850155
43,0,1,0,1,0,0,0,2.484906673
31,0,0,0,0,1,0,0,3.2441926
41,0,1,0,1,0,0,0,2.397895336
41,1,1,0,1,0,0,0,2.862200975
37,0,0,0,0,1,0,0,3.199448347
49,1,1,0,1,0,0,0,2.484906673
69,0,1,0,0,0,1,0,2.77258873
48,0,1,0,0,1,0,0,2.397895336
45,0,1,0,1,0,0,0,2.890371799
38,1,0,0,0,0,0,1,3.056356907
50,0,1,1,0,0,0,0,2.11021328
49,1,1,1,0,0,0,0,2.11021328
51,0,0,1,0,0,0,0,NA
54,0,0,0,0,1,0,0,2.302585125
26,1,1,0,1,0,0,0,2.197224617
27,0,0,1,0,0,0,0,2.397895336
31,0,1,0,1,0,0,0,NA
29,1,1,1,0,0,0,0,2.079441547
43,0,0,0,0,1,0,0,3.073850155
32,1,1,0,1,0,0,0,2.944438934
44,0,1,0,1,0,0,0,2.302585125
27,0,1,0,0,0,1,0,2.169053793
22,0,0,0,1,0,0,0,2.879198313
53,1,0,0,0,1,0,0,2.263350248
60,0,1,1,0,0,0,0,3.072230339
32,0,1,0,1,0,0,0,2.302585125
52,1,0,0,0,0,1,0,3.649358749
58,0,0,0,1,0,0,0,1.537117243
56,0,0,0,0,1,0,0,2.639057398
24,0,0,0,0,0,1,0,2.956211567
24,0,0,0,0,0,1,0,2.956211567
47,0,1,1,0,0,0,0,NA
53,0,1,1,0,0,0,0,2.602689743
23,0,1,1,0,0,0,0,NA
34,1,1,0,1,0,0,0,2.302585125
40,1,1,0,0,0,0,1,2.302585125
46,0,1,0,1,0,0,0,2.740839958
43,1,1,0,1,0,0,0,2.681021452
19,0,0,0,0,1,0,0,2.708050251
32,0,0,0,0,1,0,0,2.890371799
43,0,1,0,1,0,0,0,3.555348158
41,1,0,0,0,1,0,0,2.995732307
44,0,0,0,0,1,0,0,3.442019463
30,0,0,0,1,0,0,0,2.708050251
52,0,0,0,0,1,0,0,2.197224617
25,1,0,0,1,0,0,0,2.263350248
38,1,1,0,0,1,0,0,2.484906673
22,1,0,0,0,1,0,0,2.67414856
35,0,1,0,1,0,0,0,2.995732307
55,0,1,1,0,0,0,0,3.072230339
46,1,1,1,0,0,0,0,2.11021328
61,0,1,1,0,0,0,0,2.35327816
32,0,0,0,1,0,0,0,2.35327816
19,1,0,0,0,1,0,0,2.197224617
40,0,0,0,0,0,1,0,2.599833727
36,1,0,0,0,0,1,0,2.668824196
39,1,0,0,0,0,0,1,3.091042519
40,0,0,0,0,0,1,0,3.174343348
22,1,1,0,1,0,0,0,2.208274364
61,1,1,0,0,1,0,0,2.302585125
31,1,1,0,0,0,1,0,2.956510544
22,1,0,0,1,0,0,0,2.833213329
36,0,1,0,0,1,0,0,3.068053007
33,1,0,0,1,0,0,0,2.931193829
39,0,1,1,0,0,0,0,2.197224617
27,1,0,0,0,0,1,0,2.486488819
28,0,1,1,0,0,0,0,2.140066147
34,0,1,1,0,0,0,0,2.140066147
25,0,1,1,0,0,0,0,2.140066147
38,0,1,1,0,0,0,0,2.140066147
72,1,0,0,1,0,0,0,2.796671391
70,1,0,0,0,0,0,1,3.649358749
32,0,0,0,1,0,0,0,2.668824196
30,1,1,0,1,0,0,0,2.525728703
33,1,1,0,1,0,0,0,2.539631605
49,1,1,1,0,0,0,0,NA
42,0,0,0,0,0,0,1,3.649657726
50,0,1,1,0,0,0,0,2.833213329
23,0,0,0,1,0,0,0,2.148434401
22,1,0,0,0,1,0,0,2.302585125
50,1,1,1,0,0,0,0,2.31747365
40,0,1,0,1,0,0,0,2.841581583
53,1,0,0,0,0,1,0,3.091042519
17,1,0,1,0,0,0,0,2.079441547
46,0,1,1,0,0,0,0,NA
38,1,0,0,0,1,0,0,2.302585125
26,0,1,0,0,0,0,1,2.626116753
53,0,1,0,0,1,0,0,2.695977688
55,1,1,1,0,0,0,0,2.602689743
24,1,1,0,1,0,0,0,2.197224617
21,0,1,0,1,0,0,0,2.484906673
65,0,1,0,0,1,0,0,3.218875885
64,1,1,0,0,0,1,0,2.995732307
20,0,1,0,1,0,0,0,2.094945669
46,0,1,1,0,0,0,0,NA
45,1,1,1,0,0,0,0,2.302585125
38,0,1,0,0,1,0,0,2.833213329
36,0,1,0,1,0,0,0,3.178053856
50,1,1,0,1,0,0,0,2.667228222
60,0,1,0,1,0,0,0,NA
35,0,0,0,0,0,0,1,4.054434776
28,0,0,0,0,0,1,0,2.862200975
31,1,1,0,1,0,0,0,2.32727766
39,0,1,0,1,0,0,0,2.302585125
35,1,1,1,0,0,0,0,3.610917807
67,0,1,1,0,0,0,0,2.839078426
55,1,1,1,0,0,0,0,2.459588766
37,1,1,0,0,0,1,0,2.813410759
34,0,1,1,0,0,0,0,NA
71,0,0,0,0,0,0,1,4.292698383
65,1,1,0,0,1,0,0,3.17909503
47,0,1,0,1,0,0,0,3.535436869
33,0,0,0,1,0,0,0,3.36124301
63,1,0,1,0,0,0,0,1.945910096
63,0,1,1,0,0,0,0,2.708050251
40,0,1,1,0,0,0,0,2.302585125
42,1,1,1,0,0,0,0,2.174751759
80,0,1,0,0,0,1,0,3.571643114
19,0,0,0,0,1,0,0,2.525728703
53,0,0,0,0,1,0,0,NA
30,1,1,1,0,0,0,0,1.52605629
45,0,0,1,0,0,0,0,NA
42,0,0,0,0,1,0,0,3.179646254
38,0,1,1,0,0,0,0,2.140066147
44,0,0,0,0,1,0,0,2.862200975
31,1,1,0,1,0,0,0,2.120263577
28,1,1,1,0,0,0,0,1.52605629
21,0,1,0,1,0,0,0,2.445241451
26,0,1,0,1,0,0,0,3.51154542
23,0,1,0,1,0,0,0,2.312535524
31,0,1,0,0,0,1,0,2.197224617
23,1,0,0,0,0,1,0,2.563467503
57,1,0,0,1,0,0,0,2.36649847
